Operation,Median_ms,Mean_ms,Std_ms
Enrollment_wallet,421.44522250004,421.9746619600028,2.772528624372126
Enrollment_CA,13.666638500012596,13.68379241999719,0.2862438496882809
Retrieval_CA,444.09023400004344,444.2016452200005,2.479885223807262
Retrieval_wallet,3.1688450000615376,3.225420660000964,0.2695987798880439
ECDSA_sign,6.667504500001087,6.70821973999864,0.13649600762387135
Total_enrollment,,435.65845437999997,
Total_authentication,,454.1352856200001,

Threshold_t,Threshold_n,Quorum,Median_ms,Mean_ms,Std_ms
1,3,2,445.5071675000113,446.170916880003,2.682198920932286
2,5,3,449.908149500061,449.90096276000713,2.459421427053919
3,7,4,457.97871799999257,458.0029988399974,2.780312303918713
5,10,6,468.03183550002814,468.0290118999892,2.7198073082470318
